model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
kimi-k2.6,diabetes_0009_0001,32.3902,1645,1418,0,43.78,0.00597
kimi-k2.6,angst_0008_0001,10.2914,2920,736,0,71.52,0.00451
kimi-k2.6,angst_0008_0006,6.3513,1032,728,0,114.62,0.0032
kimi-k2.6,angst_0004_0001,4.9296,1854,527,0,106.9,0.00307
kimi-k2.6,astma_bij_volwassenen_0013_0001,23.7621,2718,2977,0,125.28,0.01204
kimi-k2.6,influenza_0001_0001,5.1501,765,573,0,111.26,0.00248
kimi-k2.6,depressie_0009_0002,5.4847,1928,573,0,104.47,0.00328
kimi-k2.6,diabetes_0009_0017,4.0864,1803,403,0,98.62,0.00261
kimi-k2.6,astma_bij_volwassenen_0011_0001,134.2503,1778,5931,0,44.18,0.0215
kimi-k2.6,astma_bij_volwassenen_0014_0003,11.4877,1824,1353,0,117.78,0.00587
kimi-k2.6,hand-en-polsklachten_0003_0001,7.7213,1077,851,0,110.21,0.00365
kimi-k2.6,chronische nierschade_0008_0001,15.5417,1612,1952,0,125.6,0.00778
kimi-k2.6,angst_0002_0001,28.1425,1730,1201,0,42.68,0.00529
kimi-k2.6,hartfalen_0007_0002,5.1932,2068,571,0,109.95,0.00337
kimi-k2.6,astma_bij_volwassenen_0001_0001,5.3875,2349,491,0,91.14,0.00329
kimi-k2.6,hartfalen_0005_0001,24.9837,11467,2893,0,115.8,0.01774
kimi-k2.6,hand-en-polsklachten_0008_0001,8.6222,1098,1032,0,119.69,0.00428
kimi-k2.6,depressie_0008_0001,21.9921,2396,2795,0,127.09,0.0112
kimi-k2.6,depressie_0009_0001,5.8887,1562,623,0,105.8,0.0032
kimi-k2.6,hand-en-polsklachten_0008_0003,10.781,3335,1217,0,112.88,0.00644
kimi-k2.6,diabetes_0003_0001,21.4921,1887,2596,0,120.79,0.01017
kimi-k2.6,angst_0008_0005,7.0135,257,785,0,111.93,0.00286
kimi-k2.6,chronische nierschade_0004_0001,6.9876,3414,727,0,104.04,0.00482
kimi-k2.6,hartfalen_0006_0001,7.3769,2164,807,0,109.4,0.00424
kimi-k2.6,diabetes_0009_0002,12.1001,2982,521,0,43.06,0.00382
kimi-k2.6,astma_bij_volwassenen_0008_0006,13.4154,116,1390,0,103.61,0.00483
kimi-k2.6,diabetes_0009_0009,9.8594,5832,1091,0,110.66,0.00772
kimi-k2.6,astma_bij_volwassenen_0008_0004,13.2849,770,1611,0,121.27,0.00604
kimi-k2.6,COPD_0010_0002,16.4296,2168,2075,0,126.3,0.00858
kimi-k2.6,hartfalen_0007_0006,6.356,1565,710,0,111.71,0.0035
kimi-k2.6,chronische nierschade_0014_0001,9.0826,2926,981,0,108.01,0.00536
kimi-k2.6,depressie_0009_0005,23.0626,1472,2787,0,120.85,0.01054
kimi-k2.6,depressie_0009_0006,7.6229,3371,845,0,110.85,0.0052
kimi-k2.6,COPD_0007_0001,8.0592,1662,913,0,113.29,0.00426
kimi-k2.6,chronische nierschade_0008_0002,6.2461,11925,512,0,81.97,0.00991
kimi-k2.6,hartfalen_0011_0001,6.0579,1380,681,0,112.41,0.00327
kimi-k2.6,depressie_0007_0001,5.3964,2806,560,0,103.77,0.00383
kimi-k2.6,diabetes_0013_0001,16.6213,2079,1973,0,118.7,0.00817
kimi-k2.6,hand-en-polsklachten_0010_0005,99.6831,1170,4276,0,42.9,0.01542
kimi-k2.6,diabetes_0009_0005,11.1104,2585,1294,0,116.47,0.00619
kimi-k2.6,COPD_0012_0002,18.7114,1144,2233,0,119.34,0.00842
kimi-k2.6,hartfalen_0007_0004,17.6313,1830,2175,0,123.36,0.00869
kimi-k2.6,depressie_0008_0002,15.683,1814,1870,0,119.24,0.00764
kimi-k2.6,astma_bij_volwassenen_0014_0001,53.4489,880,2201,0,41.18,0.00813
kimi-k2.6,COPD_0007_0004,10.972,766,1299,0,118.39,0.00497
kimi-k2.6,diabetes_0009_0012,8.8488,2786,371,0,41.93,0.00317
kimi-k2.6,diabetes_0009_0006,43.8688,3322,5404,0,123.19,0.02075
kimi-k2.6,angst_0008_0002,7.6247,2068,888,0,116.46,0.00445
kimi-k2.6,hartfalen_0011_0002,7.864,1850,928,0,118.01,0.00444
kimi-k2.6,chronische nierschade_0010_0003,61.2799,3472,2511,0,40.98,0.01096
kimi-k2.6,chronische nierschade_0010_0001,26.6084,2983,3173,0,119.25,0.01289
kimi-k2.6,depressie_0010_0001,21.8249,2658,2670,0,122.34,0.01095
kimi-k2.6,COPD_0003_0002,21.6117,5704,2482,0,114.85,0.01239
kimi-k2.6,angst_0008_0008,3.7733,3103,356,0,94.35,0.00334
kimi-k2.6,diabetes_0009_0015,35.6444,2585,4450,0,124.84,0.01699
kimi-k2.6,chronische nierschade_0011_0001,5.2271,3214,507,0,96.99,0.00393
kimi-k2.6,COPD_0006_0004,7.8932,2575,626,0,79.31,0.0039
kimi-k2.6,hartfalen_0007_0001,14.0104,1145,1763,0,125.84,0.00681
kimi-k2.6,dementie_0011_0001,22.6873,1709,2812,0,123.95,0.01079
kimi-k2.6,depressie_0007_0002,16.036,2697,1922,0,119.86,0.00842
kimi-k2.6,chronische nierschade_0001_0001,6.6556,2954,741,0,111.33,0.00455
kimi-k2.6,hartfalen_0008_0002,6.9168,10936,727,0,105.11,0.00997
kimi-k2.6,angst_0006_0001,15.4285,3280,1800,0,116.67,0.0084
kimi-k2.6,dementie_0011_0003,2.6056,2001,218,0,83.67,0.00211
kimi-k2.6,depressie_0008_0003,12.712,2224,1495,0,117.61,0.00663
kimi-k2.6,angst_0008_0004,9.5338,2810,1103,0,115.69,0.00569
kimi-k2.6,angst_0006_0002,10.9522,3120,1330,0,121.44,0.00668
kimi-k2.6,angst_0007_0001,35.5384,1056,1473,0,41.45,0.00576
kimi-k2.6,hartfalen_0003_0001,7.1325,1450,816,0,114.41,0.00378
kimi-k2.6,chronische nierschade_0007_0001,18.8346,7976,2189,0,116.22,0.01294
kimi-k2.6,COPD_0006_0002,8.1535,3063,932,0,114.31,0.00528
kimi-k2.6,COPD_0003_0001,42.2304,1440,1750,0,41.44,0.00697
kimi-k2.6,depressie_0009_0007,17.419,1958,2155,0,123.72,0.00871
kimi-k2.6,hartfalen_0007_0003,11.0253,1484,1268,0,115.01,0.00535
kimi-k2.6,chronische nierschade_0006_0001,21.4205,2066,2680,0,125.11,0.01058
kimi-k2.6,dementie_0002_0003,78.6015,1143,3600,0,45.8,0.01309
kimi-k2.6,dementie_0004_0001,6.0207,1628,636,0,105.64,0.00329
kimi-k2.6,angst_0009_0002,7.5029,2566,853,0,113.69,0.00467
kimi-k2.6,depressie_0006_0001,25.3141,1227,3029,0,119.66,0.0112
kimi-k2.6,COPD_0011_0001,18.4722,3407,2219,0,120.13,0.00992
kimi-k2.6,hartfalen_0008_0001,6.0733,1680,641,0,105.54,0.00334
kimi-k2.6,dementie_0002_0006,43.6309,690,1642,0,37.63,0.00609
kimi-k2.6,dementie_0012_0001,5.0717,1393,552,0,108.84,0.00284
kimi-k2.6,diabetes_0009_0016,11.947,1803,1427,0,119.44,0.00611
kimi-k2.6,chronische nierschade_0003_0001,4.5778,1965,482,0,105.29,0.00299
kimi-k2.6,COPD_0012_0001,19.2066,1174,2384,0,124.12,0.00896
kimi-k2.6,depressie_0002_0001,4.9751,1767,491,0,98.69,0.00289
kimi-k2.6,chronische nierschade_0008_0003,35.0178,2701,1535,0,43.83,0.0071
kimi-k2.6,dementie_0002_0005,4.2995,2326,445,0,103.5,0.00311
kimi-k2.6,astma_bij_volwassenen_0008_0005,17.7036,941,2158,0,121.9,0.00802
kimi-k2.6,hartfalen_0007_0005,22.3328,5893,2783,0,124.61,0.01355
kimi-k2.6,angst_0008_0003,9.2305,775,1090,0,118.09,0.00426
kimi-k2.6,COPD_0010_0003,13.0856,5761,1505,0,115.01,0.00909
kimi-k2.6,hartfalen_0010_0001,7.2332,1459,833,0,115.16,0.00385
kimi-k2.6,chronische nierschade_0012_0001,10.9174,1734,1299,0,118.98,0.00563
kimi-k2.6,chronische nierschade_0004_0002,5.3754,975,580,0,107.9,0.00265
kimi-k2.6,depressie_0003_0002,13.2417,3003,1569,0,118.49,0.00742
kimi-k2.6,dementie_0002_0002,8.6234,2505,328,0,38.04,0.00284
kimi-k2.6,depressie_0005_0001,60.8018,2766,2555,0,42.02,0.01063
kimi-k2.6,COPD_0007_0003,9.9978,1685,1210,0,121.03,0.00529
kimi-k2.6,hartfalen_0004_0001,12.9436,1429,532,0,41.1,0.0028
kimi-k2.6,COPD_0006_0003,23.8774,2515,2950,0,123.55,0.01181
kimi-k2.6,dementie_0002_0004,7.8453,1629,949,0,120.96,0.00436
kimi-k2.6,hartfalen_0013_0001,8.4619,775,1001,0,118.3,0.00395
kimi-k2.6,chronische nierschade_0002_0001,9.9703,109,354,0,35.51,0.00129
kimi-k2.6,depressie_0001_0001,20.6316,2932,2470,0,119.72,0.01045
deepseek-v4-pro,COPD_0010_0001,5.5844,1515,404,354,72.34,0.00101
deepseek-v4-pro,angst_0004_0001,6.2253,1671,455,363,73.09,0.00112
deepseek-v4-pro,astma_bij_volwassenen_0011_0002,9.738,4164,778,623,79.89,0.00249
deepseek-v4-pro,dementie_0012_0002,4.9576,1482,404,323,81.49,0.001
deepseek-v4-pro,astma_bij_volwassenen_0008_0001,3.8636,1382,282,207,72.99,0.00085
deepseek-v4-pro,dementie_0011_0002,17.9406,2782,1491,1341,83.11,0.00251
deepseek-v4-pro,hand-en-polsklachten_0001_0002,13.2943,1214,1084,875,81.54,0.00147
deepseek-v4-pro,dementie_0003_0001,4.6011,1849,292,255,63.46,0.00106
deepseek-v4-pro,chronische nierschade_0006_0001,26.7156,1933,2084,1784,78.01,0.00265
deepseek-v4-pro,influenza_0003_0001,13.31,1619,940,685,70.62,0.00152
deepseek-v4-pro,angst_0002_0002,30.7575,1201,2215,1752,72.01,0.00245
deepseek-v4-pro,COPD_0007_0005,13.824,2002,1027,863,74.29,0.00176
deepseek-v4-pro,angst_0010_0001,39.3383,613,3462,3295,88.01,0.00328
deepseek-v4-pro,hand-en-polsklachten_0004_0001,4.4158,1679,266,186,60.24,0.00096
deepseek-v4-pro,influenza_0004_0001,49.609,1683,3694,3377,74.46,0.00395
deepseek-v4-pro,astma_bij_volwassenen_0014_0002,3.7913,2017,299,265,78.86,0.00114
deepseek-v4-pro,depressie_0004_0001,4.9259,118,319,280,64.76,0.00033
deepseek-v4-pro,dementie_0002_0001,14.3414,1706,1178,890,82.14,0.00177
deepseek-v4-pro,dementie_0002_0007,22.2324,1490,1849,1581,83.17,0.00226
deepseek-v4-pro,COPD_0008_0001,8.1393,2005,658,533,80.84,0.00144
deepseek-v4-pro,angst_0005_0001,50.8434,2147,3696,3268,72.69,0.00415
deepseek-v4-pro,angst_0003_0001,37.6366,1382,2814,2311,74.77,0.00305
deepseek-v4-pro,astma_bij_volwassenen_0008_0003,10.6995,2987,873,699,81.59,0.00206
deepseek-v4-pro,COPD_0004_0001,5.9232,3172,435,377,73.44,0.00176
deepseek-v4-pro,chronische nierschade_0008_0002,5.2455,10961,352,304,67.11,0.00507
deepseek-v4-pro,hand-en-polsklachten_0017_0001,7.253,1175,631,545,87.0,0.00106
deepseek-v4-pro,diabetes_0009_0014,4.8229,7624,309,231,64.07,0.00359
deepseek-v4-pro,hartfalen_0005_0001,19.779,10496,1346,979,68.05,0.00574
deepseek-v4-pro,astma_bij_volwassenen_0012_0001,108.1666,1046,8223,8093,76.02,0.00761
deepseek-v4-pro,dementie_0007_0001,8.5606,749,577,483,67.4,0.00083
deepseek-v4-pro,astma_bij_volwassenen_0008_0002,5.6014,2722,404,310,72.12,0.00154
deepseek-v4-pro,chronische nierschade_0004_0001,5.9398,3128,369,282,62.12,0.00168
deepseek-v4-pro,hartfalen_0007_0006,10.9568,1459,823,675,75.11,0.00135
deepseek-v4-pro,hand-en-polsklachten_0001_0001,13.3925,2060,982,875,73.32,0.00175
deepseek-v4-pro,diabetes_0009_0011,34.2964,1252,2652,2551,77.33,0.00285
deepseek-v4-pro,dementie_0006_0001,17.3736,1969,1358,1153,78.16,0.00204
deepseek-v4-pro,astma_bij_volwassenen_0011_0003,9.7158,3552,724,687,74.52,0.00217
deepseek-v4-pro,chronische nierschade_0010_0002,20.1548,2030,1527,1226,75.76,0.00221
deepseek-v4-pro,influenza_0002_0001,3.4223,193,221,158,64.58,0.00028
deepseek-v4-pro,COPD_0006_0001,37.5531,2039,2839,2385,75.6,0.00336
deepseek-v4-pro,chronische nierschade_0009_0001,156.1426,1022,12180,11916,78.01,0.01104
deepseek-v4-pro,angst_0006_0003,5.0247,3026,309,232,61.5,0.00159
deepseek-v4-pro,diabetes_0009_0007,69.5056,1932,5795,5650,83.37,0.00588
deepseek-v4-pro,COPD_0004_0002,6.7788,3765,415,333,61.22,0.002
deepseek-v4-pro,hand-en-polsklachten_0010_0003,29.585,1346,2410,2075,81.46,0.00268
deepseek-v4-pro,influenza_0001_0001,9.3087,748,661,572,71.01,0.0009
deepseek-v4-pro,chronische nierschade_0008_0001,18.243,1529,1508,1374,82.66,0.00198
deepseek-v4-pro,dementie_0010_0001,33.0805,1432,2621,2508,79.23,0.0029
deepseek-v4-pro,angst_0009_0001,2.7478,1388,149,111,54.23,0.00073
deepseek-v4-pro,hand-en-polsklachten_0010_0004,7.479,1334,590,439,78.89,0.00109
deepseek-v4-pro,diabetes_0010_0001,7.5551,1607,474,422,62.74,0.00111
deepseek-v4-pro,astma_bij_volwassenen_0006_0002,15.7202,1550,1105,705,70.29,0.00164
deepseek-v4-pro,astma_bij_volwassenen_0012_0002,51.5203,1770,3876,3672,75.23,0.00414
deepseek-v4-pro,diabetes_0009_0008,5.6086,1179,366,335,65.26,0.00083
deepseek-v4-pro,chronische nierschade_0010_0001,20.4225,2764,1515,1435,74.18,0.00252
deepseek-v4-pro,influenza_0006_0001,24.9054,947,2168,2049,87.05,0.0023
deepseek-v4-pro,dementie_0001_0001,45.2011,2944,3392,3041,75.04,0.00423
deepseek-v4-pro,dementie_0003_0002,14.5158,832,1107,907,76.26,0.00133
deepseek-v4-pro,hartfalen_0007_0002,8.2676,1877,559,480,67.61,0.0013
deepseek-v4-pro,dementie_0005_0001,6.2644,3136,412,342,65.77,0.00172
deepseek-v4-pro,astma_bij_volwassenen_0011_0001,26.9806,1658,2479,2312,91.88,0.00288
deepseek-v4-pro,chronische nierschade_0013_0001,16.7891,1250,1044,761,62.18,0.00145
deepseek-v4-pro,diabetes_0006_0002,21.5668,1567,1646,1420,76.32,0.00211
deepseek-v4-pro,COPD_0007_0002,209.3148,4296,14762,14348,70.53,0.01471
deepseek-v4-pro,astma_bij_volwassenen_0003_0001,8.0241,2400,643,530,80.13,0.0016
deepseek-v4-pro,hartfalen_0006_0001,10.044,2016,797,714,79.35,0.00157
deepseek-v4-pro,depressie_0003_0001,7.2425,1780,454,332,62.69,0.00117
deepseek-v4-pro,chronische nierschade_0005_0001,11.5127,1673,757,612,65.75,0.00139
deepseek-v4-pro,astma_bij_volwassenen_0003_0002,4.6973,2407,331,273,70.47,0.00134
deepseek-v4-pro,diabetes_0011_0001,4.9209,3901,279,239,56.7,0.00194
deepseek-v4-pro,hartfalen_0011_0001,8.9021,1274,689,609,77.4,0.00115
deepseek-v4-pro,depressie_0009_0003,4.7956,1238,312,260,65.06,0.00081
deepseek-v4-pro,astma_bij_volwassenen_0006_0001,6.0948,2172,410,311,67.27,0.0013
deepseek-v4-pro,angst_0008_0007,7.9217,1374,478,256,60.34,0.00101
deepseek-v4-pro,chronische nierschade_0014_0001,5.6834,2721,387,322,68.09,0.00152
deepseek-v4-pro,diabetes_0009_0001,16.9179,1539,1326,939,78.38,0.00182
deepseek-v4-pro,hartfalen_0007_0004,12.8581,1710,1027,808,79.87,0.00164
deepseek-v4-pro,diabetes_0009_0013,11.8948,571,857,747,72.05,0.00099
deepseek-v4-pro,diabetes_0009_0010,5.6293,3786,366,302,65.02,0.00197
deepseek-v4-pro,chronische nierschade_0010_0003,31.3141,3229,2212,2002,70.64,0.00333
deepseek-v4-pro,angst_0008_0006,7.1409,944,528,394,73.94,0.00087
deepseek-v4-pro,angst_0008_0001,15.1563,2643,1181,1008,77.92,0.00218
deepseek-v4-pro,hand-en-polsklachten_0002_0001,6.7631,1967,563,417,83.25,0.00135
deepseek-v4-pro,chronische nierschade_0011_0001,13.1691,2985,1051,970,79.81,0.00221
deepseek-v4-pro,astma_bij_volwassenen_0013_0001,27.4784,2493,2449,2039,89.12,0.00322
deepseek-v4-pro,depressie_0009_0002,8.6244,1742,679,597,78.73,0.00135
deepseek-v4-pro,angst_0002_0001,9.2657,1550,676,640,72.96,0.00126
deepseek-v4-pro,hartfalen_0011_0002,21.5244,1728,1572,1451,73.03,0.00212
deepseek-v4-pro,depressie_0009_0004,45.4167,2456,3685,3492,81.14,0.00427
deepseek-v4-pro,diabetes_0009_0017,5.2423,1689,354,310,67.53,0.00104
deepseek-v4-pro,chronische nierschade_0001_0001,6.4387,2744,438,356,68.03,0.00157
deepseek-v4-pro,depressie_0008_0001,10.5242,2004,810,724,76.97,0.00158
deepseek-v4-pro,hartfalen_0008_0002,8.2703,10064,517,419,62.51,0.00483
deepseek-v4-pro,hand-en-polsklachten_0013_0001,13.459,1022,802,567,59.59,0.00114
deepseek-v4-pro,astma_bij_volwassenen_0001_0001,10.5329,2178,779,636,73.96,0.00163
deepseek-v4-pro,depressie_0009_0001,9.141,1407,804,682,87.96,0.00131
deepseek-v4-pro,hartfalen_0007_0001,32.5843,1099,2459,2174,75.47,0.00262
deepseek-v4-pro,diabetes_0003_0001,23.1754,1755,1657,1378,71.5,0.00221
deepseek-v4-pro,astma_bij_volwassenen_0014_0003,56.2686,1623,4635,4537,82.37,0.00474
deepseek-v4-pro,diabetes_0009_0002,11.9836,2711,1009,960,84.2,0.00206
deepseek-v4-pro,astma_bij_volwassenen_0008_0006,17.255,185,1336,1270,77.43,0.00124
deepseek-v4-pro,hartfalen_0003_0001,3.8716,1380,280,230,72.32,0.00084
deepseek-v4-pro,chronische nierschade_0002_0001,5.8895,179,350,323,59.43,0.00038
deepseek-v4-pro,hand-en-polsklachten_0014_0001,5.5429,1101,408,274,73.61,0.00083
deepseek-v4-pro,angst_0008_0005,24.0458,300,1678,1509,69.78,0.00159
deepseek-v4-pro,chronische nierschade_0007_0001,43.5248,7320,3101,2659,71.25,0.00588
deepseek-v4-pro,diabetes_0009_0009,10.3831,5341,905,768,87.16,0.00311
deepseek-v4-pro,chronische nierschade_0004_0002,8.4853,972,678,601,79.9,0.00101
deepseek-v4-pro,hartfalen_0007_0003,4.6561,1386,323,249,69.37,0.00088
deepseek-v4-pro,COPD_0010_0002,18.1262,1950,1504,1325,82.97,0.00216
deepseek-v4-pro,astma_bij_volwassenen_0008_0004,20.1766,778,1592,1417,78.9,0.00172
deepseek-v4-pro,hand-en-polsklachten_0012_0002,10.277,108,668,594,65.0,0.00063
deepseek-v4-pro,COPD_0007_0001,8.0599,1523,510,387,63.28,0.00111
deepseek-v4-pro,diabetes_0013_0001,6.9802,1917,498,350,71.35,0.00127
deepseek-v4-pro,depressie_0009_0006,15.0605,3189,1213,1005,80.54,0.00244
deepseek-v4-pro,depressie_0009_0005,34.8238,1379,2442,1990,70.12,0.00272
deepseek-v4-pro,astma_bij_volwassenen_0014_0001,12.1539,844,814,698,66.97,0.00108
deepseek-v4-pro,hartfalen_0008_0001,5.2204,1527,384,279,73.56,0.001
deepseek-v4-pro,depressie_0007_0001,3.8292,2524,220,147,57.45,0.00129
deepseek-v4-pro,diabetes_0009_0005,12.069,2379,1004,855,83.19,0.00191
deepseek-v4-pro,hand-en-polsklachten_0012_0001,18.2401,855,1259,998,69.02,0.00147
deepseek-v4-pro,chronische nierschade_0015_0001,25.7919,12474,1929,1467,74.79,0.0071
deepseek-v4-pro,hand-en-polsklachten_0016_0001,4.4757,1807,344,265,76.86,0.00109
deepseek-v4-pro,depressie_0008_0002,6.9318,1616,503,460,72.56,0.00114
deepseek-v4-pro,influenza_0008_0001,15.4771,2491,1146,978,74.04,0.00208
deepseek-v4-pro,diabetes_0009_0012,3.7241,2538,261,207,70.08,0.00133
deepseek-v4-pro,COPD_0007_0004,13.9847,754,1047,807,74.87,0.00124
deepseek-v4-pro,hartfalen_0007_0005,33.4058,5407,2778,2516,83.16,0.00477
deepseek-v4-pro,COPD_0012_0002,50.2959,1038,4367,4318,86.83,0.00425
deepseek-v4-pro,angst_0008_0002,8.2672,1850,638,577,77.17,0.00136
deepseek-v4-pro,influenza_0009_0001,6.6081,1523,453,366,68.55,0.00106
deepseek-v4-pro,diabetes_0009_0015,24.9132,2376,1913,1677,76.79,0.0027
deepseek-v4-pro,hand-en-polsklachten_0015_0001,9.3852,1150,732,599,78.0,0.00114
deepseek-v4-pro,hartfalen_0010_0001,11.5631,1362,955,914,82.59,0.00142
deepseek-v4-pro,angst_0008_0008,4.8517,2972,220,170,45.34,0.00148
deepseek-v4-pro,depressie_0010_0001,18.4135,2439,1573,1363,85.43,0.00243
deepseek-v4-pro,hartfalen_0004_0001,8.0725,1369,588,524,72.84,0.00111
deepseek-v4-pro,dementie_0011_0001,23.3187,1591,1762,1506,75.56,0.00223
deepseek-v4-pro,influenza_0007_0001,19.0806,1285,1270,1116,66.56,0.00166
deepseek-v4-pro,hand-en-polsklachten_0010_0002,6.0376,1365,399,333,66.09,0.00094
deepseek-v4-pro,COPD_0006_0004,5.6016,2367,422,315,75.34,0.0014
deepseek-v4-pro,dementie_0002_0003,8.5333,1092,604,478,70.78,0.001
deepseek-v4-pro,depressie_0007_0002,18.3612,2409,1511,1168,82.29,0.00236
deepseek-v4-pro,chronische nierschade_0003_0001,4.0715,1835,280,214,68.77,0.00104
deepseek-v4-pro,COPD_0003_0002,54.8642,5343,4478,4413,81.62,0.00622
deepseek-v4-pro,hartfalen_0013_0001,10.0729,778,863,701,85.68,0.00109
deepseek-v4-pro,angst_0006_0001,26.4618,2804,2152,1704,81.32,0.00309
deepseek-v4-pro,angst_0007_0001,23.3605,999,1791,1439,76.67,0.00199
deepseek-v4-pro,dementie_0011_0003,2.8719,1895,158,132,55.02,0.00096
deepseek-v4-pro,depressie_0008_0003,10.604,2009,845,653,79.69,0.00161
deepseek-v4-pro,COPD_0003_0001,12.151,1321,951,886,78.27,0.0014
deepseek-v4-pro,influenza_0005_0001,7.6771,1243,536,344,69.82,0.00101
deepseek-v4-pro,angst_0006_0002,21.5307,2682,1557,1109,72.32,0.00252
deepseek-v4-pro,hand-en-polsklachten_0010_0005,35.5198,1101,2539,2085,71.48,0.00269
deepseek-v4-pro,hartfalen_0009_0001,15.3793,1123,1176,1075,76.47,0.00151
deepseek-v4-pro,angst_0008_0004,30.7635,2542,2497,2397,81.17,0.00328
deepseek-v4-pro,hand-en-polsklachten_0003_0001,11.6611,1044,918,845,78.72,0.00125
deepseek-v4-pro,COPD_0006_0002,9.617,2761,819,739,85.16,0.00191
deepseek-v4-pro,hartfalen_0008_0003,5.7843,10968,353,295,61.03,0.00508
deepseek-v4-pro,dementie_0002_0006,12.1444,696,940,813,77.4,0.00112
deepseek-v4-pro,hand-en-polsklachten_0008_0003,29.1419,3226,2466,2332,84.62,0.00355
deepseek-v4-pro,COPD_0011_0001,29.5015,3155,2142,1861,72.61,0.00324
deepseek-v4-pro,depressie_0009_0007,50.1126,1771,3787,3428,75.57,0.00407
deepseek-v4-pro,dementie_0004_0001,10.8104,1505,799,689,73.91,0.00135
deepseek-v4-pro,influenza_0011_0001,4.4676,386,334,267,74.76,0.00046
deepseek-v4-pro,angst_0009_0002,12.8422,2331,1070,830,83.32,0.00194
deepseek-v4-pro,hartfalen_0005_0002,7.2777,1421,565,498,77.63,0.00111
deepseek-v4-pro,depressie_0005_0001,14.659,2485,1341,1077,91.48,0.00225
deepseek-v4-pro,dementie_0012_0001,4.6843,1316,300,211,64.04,0.00083
deepseek-v4-pro,COPD_0012_0001,15.4848,1103,1180,886,76.2,0.00151
deepseek-v4-pro,hartfalen_0007_0007,3.5911,1425,246,166,68.5,0.00083
deepseek-v4-pro,astma_bij_volwassenen_0008_0005,10.923,933,911,784,83.4,0.0012
deepseek-v4-pro,depressie_0002_0001,4.4427,1639,333,273,74.95,0.001
deepseek-v4-pro,diabetes_0009_0006,243.5367,3030,18314,18083,75.2,0.01725
deepseek-v4-pro,dementie_0002_0005,4.4636,2209,345,294,77.29,0.00126
deepseek-v4-pro,influenza_0010_0001,27.854,1030,2103,1793,75.5,0.00228
deepseek-v4-pro,angst_0008_0003,6.2085,787,407,312,65.56,0.0007
deepseek-v4-pro,COPD_0010_0003,11.752,5411,854,663,72.67,0.0031
deepseek-v4-pro,hand-en-polsklachten_0008_0001,5.2929,1057,367,270,69.34,0.00078
deepseek-v4-pro,diabetes_0009_0016,51.4324,1686,3953,3803,76.86,0.00417
deepseek-v4-pro,dementie_0002_0002,4.6639,2225,291,223,62.39,0.00122
deepseek-v4-pro,influenza_0009_0002,16.6153,2891,1277,1015,76.86,0.00237
deepseek-v4-pro,depressie_0003_0002,19.6278,2689,1333,852,67.91,0.00233
deepseek-v4-pro,hand-en-polsklachten_0008_0002,11.0271,3021,913,760,82.8,0.00211
deepseek-v4-pro,COPD_0006_0003,21.6934,2294,1575,1206,72.6,0.00237
deepseek-v4-pro,chronische nierschade_0008_0003,17.1281,2430,1435,1345,83.78,0.00231
deepseek-v4-pro,dementie_0002_0004,7.6757,1522,540,401,70.35,0.00113
deepseek-v4-pro,COPD_0007_0003,11.5549,1535,887,711,76.76,0.00144
deepseek-v4-pro,chronische nierschade_0012_0001,19.2124,1624,1579,1476,82.19,0.00208
deepseek-v4-pro,depressie_0001_0001,37.2935,2592,2830,2386,75.88,0.00359
deepseek-v4-pro,hand-en-polsklachten_0010_0001,26.5932,1590,2049,1797,77.05,0.00247
deepseek-v4-pro,depressie_0006_0001,255.2219,1150,18667,18399,73.14,0.01674
glm-5.1,chronische nierschade_0005_0001,9.2555,1650,687,0,74.23,0.00373
glm-5.1,COPD_0010_0001,9.6558,1443,521,0,53.96,0.00302
glm-5.1,hartfalen_0005_0002,7.4636,1381,629,0,84.28,0.00329
glm-5.1,hand-en-polsklachten_0016_0001,9.7844,1809,596,0,60.91,0.00361
glm-5.1,dementie_0012_0002,6.877,1431,569,0,82.74,0.00315
glm-5.1,influenza_0005_0001,26.7615,1218,1491,0,55.71,0.00579
glm-5.1,astma_bij_volwassenen_0008_0001,7.5637,1359,541,0,71.53,0.003
glm-5.1,chronische nierschade_0012_0001,16.9376,1622,1218,0,71.91,0.00534
glm-5.1,dementie_0011_0002,38.0623,2777,2112,0,55.49,0.00923
glm-5.1,astma_bij_volwassenen_0011_0002,41.0808,4165,1093,0,26.61,0.00745
glm-5.1,hartfalen_0007_0007,6.1727,1399,515,0,83.43,0.00296
glm-5.1,dementie_0003_0001,11.8996,1780,561,0,47.14,0.00347
glm-5.1,COPD_0007_0005,9.9897,1968,923,0,92.4,0.00477
glm-5.1,hartfalen_0004_0001,22.9452,1341,532,0,23.19,0.00295
glm-5.1,astma_bij_volwassenen_0012_0001,23.6583,985,2212,0,93.5,0.00778
glm-5.1,angst_0010_0001,42.4704,553,1752,0,41.25,0.00594
glm-5.1,hand-en-polsklachten_0008_0001,27.0923,1009,925,0,34.14,0.00384
glm-5.1,chronische nierschade_0002_0001,17.3599,101,419,0,24.14,0.00139
glm-5.1,depressie_0004_0001,4.3058,41,416,0,96.61,0.00132
glm-5.1,astma_bij_volwassenen_0014_0002,19.1193,1974,531,0,27.77,0.00357
glm-5.1,hartfalen_0009_0001,11.8248,1088,1227,0,103.76,0.00485
